Rank ,City,State,"Land area, km2","Water area, km2","Total area, km2",Population (2020)
113,North Las Vegas,Nevada,262.0,0.0,262.0,262527
114,Tallahassee,Florida,261.0,7.3,269.0,196169
115,Clarksville,Tennessee,257.0,1.8,259.0,166722
116,North Port,Florida,257.0,12.0,270.0,74793
117,St. Marys,Pennsylvania,257.0,0.52,258.0,12738
118,Nightmute,Alaska,256.0,14.0,270.0,306
119,Knoxville,Tennessee,256.0,14.0,270.0,190740
120,Sacramento,California,255.0,5.4,261.0,524943
121,Lincoln,Nebraska,253.0,3.6,256.0,291082
122,Denton,Texas,250.0,3.9,254.0,139869
123,Milwaukee,Wisconsin,249.0,1.6,251.0,577222
124,Arlington,Texas,248.0,9.3,258.0,394266
125,Palm Coast,Florida,247.0,3.1,250.0,89258
126,Palm Springs,California,245.0,0.26,245.0,44575
127,Lancaster,California,244.0,0.78,245.0,173516
128,Dothan,Alabama,233.0,0.78,234.0,71072
129,Waco,Texas,230.0,32.0,262.0,138486
130,Des Moines,Iowa,228.0,6.5,235.0,214133
131,Palm Bay,Florida,224.0,8.3,232.0,119760
132,Baton Rouge,Louisiana,224.0,5.7,229.0,227470
133,Oak Ridge,Tennessee,221.0,12.0,233.0,31402
134,South Fulton,Georgia,221.0,2.6,224.0,107436
135,Edmond,Oklahoma,219.0,8.0,227.0,94428
136,Boise,Idaho,218.0,2.6,220.0,235684
137,Seattle,Washington,217.0,151.0,368.0,737015
138,Beaumont,Texas,214.0,7.3,221.0,115282
139,Springfield,Missouri,213.0,1.6,215.0,169176
140,Lawton,Oklahoma,211.0,0.0,211.0,90381
141,Riverside,California,210.0,0.78,211.0,314998
142,Baltimore ,Maryland,210.0,29.0,238.0,585708
143,Toledo,Ohio,208.0,8.5,217.0,270871
144,Jonesboro,Arkansas,208.0,1.6,209.0,78576
145,El Reno,Oklahoma,206.0,1.6,208.0,16989
146,Madison,Wisconsin,206.0,55.0,262.0,269840
147,Caribou,Maine,205.0,2.1,207.0,7396
148,Ellsworth,Maine,205.0,38.0,243.0,8399
149,Sioux Falls,South Dakota,205.0,1.3,206.0,192517
150,St. George,Utah,203.0,0.0,203.0,95342
