Rank ,City ,State ,Land area (sq mi), (km2),Water area (sq mi), (km2),Total area (sq mi), (km2),Population (2020)
79,Brownsville,Texas,131.5,341,13.7,35,145.2,376,"1,86,738"
80,Greensboro,North Carolina,129.6,336,5.2,13,134.8,349,"2,99,035"
81,Lynchburg,Tennessee,129.2,335,1.2,3.1,130.4,338,"6,461"
82,Kansas City,Kansas,124.7,323,3.6,9.3,128.3,332,"1,56,607"
83,Fernley,Nevada,121.3,314,6.7,17,128,332,"22,895"
84,Marana,Arizona,121.1,314,0.7,1.8,121.8,315,"51,908"
85,Yuma,Arizona,120.7,313,0.1,0.26,120.7,313,"95,548"
86,Little Rock,Arkansas,120,311,3,7.8,123,319,"2,02,591"
87,Port St. Lucie,Florida,119.2,309,1.6,4.1,120.8,313,"2,04,851"
88,Athens,Georgia,116.3,301,1.8,4.7,118.1,306,"1,27,315"
89,Fresno,California,115.2,298,1.2,3.1,116.4,301,"5,42,107"
90,Charleston,South Carolina,114.8,297,20.4,53,135.1,350,"1,50,227"
91,Hartsville,Tennessee,114.3,296,2.3,6,116.6,302,"11,615"
92,Tampa,Florida,114,295,61.8,160,175.8,455,"3,84,959"
93,Eloy,Arizona,113.6,294,0.1,0.26,113.6,294,"15,635"
94,Durham,North Carolina,112.8,292,0.8,2.1,113.6,294,"2,83,506"
95,Jackson,Mississippi,111.7,289,2.1,5.4,113.9,295,"1,53,701"
96,Casa Grande,Arizona,110.9,287,0,0,110.9,287,"53,658"
97,Fort Wayne,Indiana,110.7,287,0.2,0.52,111,287,"2,63,886"
98,Orlando,Florida,110.6,286,8.3,21,118.9,308,"3,07,573"
99,Salt Lake City,Utah,110.3,286,0.5,1.3,110.8,287,"1,99,723"
100,Surprise,Arizona,110.3,286,0.2,0.52,110.5,286,"1,43,148"
101,Reno,Nevada,108.8,282,2.8,7.3,111.6,289,"2,64,165"
102,Shreveport,Louisiana,107.8,279,15.5,40,123.3,319,"1,87,593"
103,Savannah,Georgia,106.8,277,4.8,12,111.6,289,"1,47,780"
104,Abilene,Texas,106.7,276,5.4,14,112.1,290,"1,25,182"
105,Laredo,Texas,106.5,276,1.5,3.9,108,280,"2,55,205"
106,Henderson,Nevada,106.2,275,0.5,1.3,106.7,276,"3,17,610"
107,Palmdale,California,106.1,275,0.2,0.52,106.3,275,"1,69,450"
108,Cape Coral,Florida,106,275,13.4,35,119.4,309,"1,94,016"
109,Babbitt,Minnesota,106,275,0.8,2.1,106.8,277,"1,397"
110,Rio Rancho,New Mexico,103.4,268,0.3,0.78,103.6,268,"1,04,046"
111,Amarillo,Texas,102.3,265,1.6,4.1,103.9,269,"2,00,393"
112,Unalaska,Alaska,102.2,265,108.7,282,210.9,546,"4,254"
113,North Las Vegas,Nevada,101.3,262,0,0,101.3,262,"2,62,527"
114,Tallahassee,Florida,100.9,261,2.8,7.3,103.8,269,"1,96,169"
115,Clarksville,Tennessee,99.4,257,0.7,1.8,100.1,259,"1,66,722"
116,North Port,Florida,99.4,257,4.8,12,104.2,270,"74,793"
117,St. Marys,Pennsylvania,99.3,257,0.2,0.52,99.5,258,"12,738"
118,Nightmute,Alaska,99,256,5.4,14,104.4,270,306
119,Knoxville,Tennessee,98.7,256,5.5,14,104.3,270,"1,90,740"
120,Sacramento,California,98.6,255,2.1,5.4,100.7,261,"5,24,943"
121,Lincoln,Nebraska,97.7,253,1.4,3.6,99,256,"2,91,082"
122,Denton,Texas,96.4,250,1.5,3.9,97.9,254,"1,39,869"
123,Milwaukee,Wisconsin,96.2,249,0.6,1.6,96.8,251,"5,77,222"
124,Arlington,Texas,95.9,248,3.6,9.3,99.5,258,"3,94,266"
125,Palm Coast,Florida,95.4,247,1.2,3.1,96.6,250,"89,258"
126,Palm Springs,California,94.5,245,0.1,0.26,94.7,245,"44,575"
127,Lancaster,California,94.3,244,0.3,0.78,94.5,245,"1,73,516"
128,Dothan,Alabama,89.8,233,0.3,0.78,90.2,234,"71,072"
129,Waco,Texas,88.7,230,12.4,32,101.2,262,"1,38,486"
130,Des Moines,Iowa,88.2,228,2.5,6.5,90.6,235,"2,14,133"
131,Palm Bay,Florida,86.4,224,3.2,8.3,89.6,232,"1,19,760"
132,Baton Rouge,Louisiana,86.3,224,2.2,5.7,88.5,229,"2,27,470"
133,Oak Ridge,Tennessee,85.2,221,4.7,12,90,233,"31,402"
134,South Fulton,Georgia,85.2,221,1,2.6,86.3,224,"1,07,436"
135,Edmond,Oklahoma,84.6,219,3.1,8,87.7,227,"94,428"
136,Boise,Idaho,84,218,1,2.6,85,220,"2,35,684"
137,Seattle,Washington,83.9,217,58.2,151,142.1,368,"7,37,015"
138,Beaumont,Texas,82.5,214,2.8,7.3,85.2,221,"1,15,282"
139,Springfield,Missouri,82.4,213,0.6,1.6,83,215,"1,69,176"
140,Lawton,Oklahoma,81.5,211,0,0,81.5,211,"90,381"
141,Riverside,California,81.2,210,0.3,0.78,81.5,211,"3,14,998"
142,Baltimore ,Maryland,80.9,210,11.1,29,92,238,"5,85,708"
143,Toledo,Ohio,80.5,208,3.3,8.5,83.8,217,"2,70,871"
144,Jonesboro,Arkansas,80.2,208,0.6,1.6,80.7,209,"78,576"
145,El Reno,Oklahoma,79.6,206,0.6,1.6,80.2,208,"16,989"
146,Madison,Wisconsin,79.6,206,21.4,55,101,262,"2,69,840"
147,Caribou,Maine,79.3,205,0.8,2.1,80.1,207,"7,396"
148,Ellsworth,Maine,79.3,205,14.6,38,93.9,243,"8,399"
149,Sioux Falls,South Dakota,79.1,205,0.5,1.3,79.6,206,"1,92,517"
150,St. George,Utah,78.5,203,0,0,78.5,203,"95,342"
